table_identifier,country,ref_area,NUTS,accounting_entry,sto,activity,unit_measure,time_period,type,obs_value
T1001,DK,DK0,1,_Z,EMP,_T,PS,2002,T,2775.59
T1001,DK,DK0,1,_Z,EMP,_T,PS,2002,V,2776
T1001,DK,DK0,1,_Z,EMP,_T,PS,2003,T,2748.82
T1001,DK,DK0,1,_Z,EMP,_T,PS,2003,V,2749
T1001,DK,DK0,1,_Z,EMP,_T,PS,2004,T,2736.63
T1001,DK,DK0,1,_Z,EMP,_T,PS,2004,V,2737
T1001,DK,DK0,1,_Z,EMP,_T,PS,2005,T,2776.58
T1001,DK,DK0,1,_Z,EMP,_T,PS,2005,V,2777
T1001,DK,DK0,1,_Z,EMP,_T,PS,2006,T,2839.62
T1001,DK,DK0,1,_Z,EMP,_T,PS,2006,V,2840
T1001,DK,DK0,1,_Z,EMP,_T,PS,2007,T,2904.05
T1001,DK,DK0,1,_Z,EMP,_T,PS,2007,V,2904
T1001,DK,DK0,1,_Z,EMP,_T,PS,2008,T,2939.11
T1001,DK,DK0,1,_Z,EMP,_T,PS,2008,V,2939
T1001,DK,DK0,1,_Z,EMP,_T,PS,2009,T,2845.15
T1001,DK,DK0,1,_Z,EMP,_T,PS,2009,V,2845
T1001,DK,DK0,1,_Z,EMP,_T,PS,2010,T,2781.22
T1001,DK,DK0,1,_Z,EMP,_T,PS,2010,V,2781
T1001,DK,DK0,1,_Z,EMP,_T,PS,2011,T,2779.58
T1001,DK,DK0,1,_Z,EMP,_T,PS,2011,V,2780
T1001,DK,DK0,1,_Z,EMP,_T,PS,2012,T,2759.52
T1001,DK,DK0,1,_Z,EMP,_T,PS,2012,V,2760
T1001,DK,DK0,1,_Z,EMP,_T,PS,2013,T,2759.51
T1001,DK,DK0,1,_Z,EMP,_T,PS,2013,V,2760
T1001,DK,DK0,1,_Z,EMP,_T,PS,2014,T,2783.62
T1001,DK,DK0,1,_Z,EMP,_T,PS,2014,V,2784
T1001,DK,DK0,1,_Z,EMP,_T,PS,2015,T,2821.6
T1001,DK,DK0,1,_Z,EMP,_T,PS,2015,V,2822
T1001,DK,DK0,1,_Z,EMP,_T,PS,2016,T,2870.13
T1001,DK,DK0,1,_Z,EMP,_T,PS,2016,V,2870
T1001,DK,DK0,1,_Z,EMP,_T,PS,2017,T,2915.28
T1001,DK,DK0,1,_Z,EMP,_T,PS,2017,V,2915
T1001,DK,DK0,1,_Z,EMP,_T,PS,2018,T,2957.28
T1001,DK,DK0,1,_Z,EMP,_T,PS,2018,V,2957
T1001,DK,DK0,1,_Z,EMP,_T,PS,2019,T,2999.35
T1001,DK,DK0,1,_Z,EMP,_T,PS,2019,V,2997
T1001,DK,DK0,1,_Z,EMP,_T,PS,2020,T,2967.48
T1001,DK,DK0,1,_Z,EMP,_T,PS,2020,V,
T1001,DK,DK0,1,_Z,EMP,_T,PS,2021,T,3040.45
T1001,DK,DK0,1,_Z,EMP,_T,PS,2021,V,
T1001,DK,DK0,1,_Z,POP,_Z,PS,2000,T,5338.49
T1001,DK,DK0,1,_Z,POP,_Z,PS,2000,V,5338
T1001,DK,DK0,1,_Z,POP,_Z,PS,2001,T,5357.29
T1001,DK,DK0,1,_Z,POP,_Z,PS,2001,V,5357
T1001,DK,DK0,1,_Z,POP,_Z,PS,2002,T,5375.58
T1001,DK,DK0,1,_Z,POP,_Z,PS,2002,V,5376
T1001,DK,DK0,1,_Z,POP,_Z,PS,2003,T,5389.52
T1001,DK,DK0,1,_Z,POP,_Z,PS,2003,V,5390
T1001,DK,DK0,1,_Z,POP,_Z,PS,2004,T,5403.04
T1001,DK,DK0,1,_Z,POP,_Z,PS,2004,V,5403
T1001,DK,DK0,1,_Z,POP,_Z,PS,2005,T,5418.56
T1001,DK,DK0,1,_Z,POP,_Z,PS,2005,V,5419
T1001,DK,DK0,1,_Z,POP,_Z,PS,2006,T,5436.76
T1001,DK,DK0,1,_Z,POP,_Z,PS,2006,V,5437
T1001,DK,DK0,1,_Z,POP,_Z,PS,2007,T,5460.4
T1001,DK,DK0,1,_Z,POP,_Z,PS,2007,V,5460
T1001,DK,DK0,1,_Z,POP,_Z,PS,2008,T,5492.73
T1001,DK,DK0,1,_Z,POP,_Z,PS,2008,V,5493
T1001,DK,DK0,1,_Z,POP,_Z,PS,2009,T,5522.59
T1001,DK,DK0,1,_Z,POP,_Z,PS,2009,V,5523
T1001,DK,DK0,1,_Z,POP,_Z,PS,2010,T,5547.36
T1001,DK,DK0,1,_Z,POP,_Z,PS,2010,V,5547
T1001,DK,DK0,1,_Z,POP,_Z,PS,2011,T,5570.21
T1001,DK,DK0,1,_Z,POP,_Z,PS,2011,V,5570
T1001,DK,DK0,1,_Z,POP,_Z,PS,2012,T,5590.77
