country;sto;prices;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
ES;B1G;Y;530120;570410;612439;655952;701718;748283;802212;867688;933655;981561;989374;1000986;981192;951935;936441;941698;971214;1006607;1042501;1078097;1112107;1001069;1075228
ES;B1G;V;541434;588988;639118;683263;727883;775375;832410;897257;969173;1022552;1002045;985479;980239;948344;932777;940399;978971;1011268;1053805;1089420;1129619;1020065;1090923
ES;B1GQ;Y;580960;626974;673331;720137;771903;827319;890824;965404;1040008;1085080;1067787;1071066;1063973;1032287;1016634;1034923;1072245;1110842;1147582;1189049;1227743;1104454;1179697
ES;B1GQ;V;595723;647851;700993;749552;802266;859437;927357;1003823;1075539;1109541;1069323;1072709;1063763;1031104;1020677;1032608;1078092;1114420;1162492;1203859;1245513;1117989;1206842
ES;D21X31;Y;50840;56564;60892;64185;70185;79036;88612;97716;106353;103519;78413;70080;82781;80352;80193;93225;101031;104235;105081;110952;115636;103385;104469
ES;D21X31;V;54289;58863;61875;66289;74383;84062;94947;106566;106366;86989;67278;87230;83524;82760;87900;92209;99121;103152;108687;114439;115894;97924;115919
FI;B1G;Y;109641;117559;122658;129004;131743;137538;142624;149388;159808;165645;156201;164211;167806;168318;171831;175444;179118;187362;194177;197151;204277;202616;212732
FI;B1G;V;110428;119381;127302;130218;132423;139033;143921;150758;164142;170940;159066;164663;171583;173661;175985;178410;182599;187394;195707;201308;207291;206164;217910
FI;B1GQ;Y;125750;134243;140003;147097;151461;157807;163171;171320;182059;188539;178579;187537;192936;195231;199224;203575;208022;217328;224462;228880;236321;234569;245121
FI;B1GQ;V;126916;136442;144628;148486;151749;158758;164687;172897;187072;194265;181747;188143;197998;201037;204321;206897;211385;217518;226301;233462;239858;238043;251367
FI;D21X31;Y;16109;16684;17345;18093;19718;20269;20547;21932;22251;22894;22378;23325;25129;26912;27393;28131;28904;29966;30285;31729;32044;31953;32389
FI;D21X31;V;16488;17061;17326;18268;19326;19725;20766;22139;22930;23325;22681;23480;26415;27376;28336;28487;28786;30124;30594;32154;32567;31879;33457
FR;B1G;Y;1248828;1300052;1352665;1399441;1440413;1513763;1555413;1625378;1696699;1751472;1745747;1780607;1838036;1859025;1886941;1920960;1944633;1986515;2040232;2084688;2141536;1998508;2196976
FR;B1G;V;1251478;1326341;1384016;1430220;1469233;1532690;1586085;1654464;1742511;1792805;1750127;1797790;1848583;1875325;1899841;1927230;1967466;1996790;2046129;2101770;2169269;2061470;2216772
FR;B1GQ;Y;1398149;1455970;1507916;1555667;1600899;1676810;1732359;1809158;1892964;1946309;1935132;1974172;2039039;2064815;2100843;2137433;2173690;2222515;2285322;2340088;2406861;2247875;2467964
FR;B1GQ;V;1400999;1478585;1538200;1587829;1630666;1704019;1765905;1848151;1941360;1992380;1936422;1995289;2058369;2088804;2117189;2149765;2198432;2234129;2297242;2363306;2437635;2310469;2500870
FR;D21X31;Y;149321;155919;155251;156226;160486;163047;176947;183780;196265;194837;189386;193565;201004;205790;213901;216473;229057;236000;245090;255399;265325;249367;270988
FR;D21X31;V;149521;152244;154184;157610;161433;171329;179820;193687;198849;199575;186295;197499;209786;213479;217348;222535;230966;237339;251113;261536;268366;248999;284099
GR;B1G;Y;115618.9774;124431.1649;130483.8125;140723.9312;154771.1039;169873.3939;175457.5911;186643.0263;198256.4634;204885.7586;206587.315;200314.5417;179607.7787;167771.4467;162713.7123;159195.8446;156606.193;154543.0936;154851.0337;156303.9883;157688.341;144644.5863;156522.9685
GR;B1G;V;119960.8474;126181.3976;135470.2939;145797.3873;160513.3687;174773.0292;178820.508;193047.1292;205266.9602;213818.8615;212390.8657;197729.1543;178180.5363;166150.6644;159466.7664;156492.4978;155835.6093;152196.6021;154344.2076;155610.9382;158848.6296;145087.6709;158667.9178
GR;B1GQ;Y;129111.3673;139032.9396;147083.0657;158164.2067;172932.5493;187959.2674;194876.4566;210504.3514;224993.8045;231914.6642;231583.0278;224521.5417;201376.9771;188900.3804;183640.985;180740.0821;176888.4382;175509.6413;176399.9126;179854.8746;182941.157;166842.194;179356.9571
GR;B1GQ;V;133788.7282;141247.2762;152193.8375;163460.7643;178904.9035;193715.8236;199242.3118;217861.5682;232694.5927;241990.3899;237534.1815;224124.0299;203308.2175;188380.6363;179884.38;177235.9757;176368.8629;174494.1763;176903.3686;179557.6757;183351.2179;165405.9182;181674.6064
GR;D21X31;Y;13492.38987;14601.77472;16599.25314;17440.2755;18161.44541;18085.8735;19418.86545;23861.32513;26737.34108;27028.90553;24995.71278;24207.00001;21769.19841;21128.93366;20927.27277;21544.23749;20282.24518;20966.54775;21548.87894;23550.88627;25252.81591;22197.60773;22833.98861
GR;D21X31;V;13827.88078;15065.8786;16723.5436;17663.37692;18391.53477;18942.79431;20421.8038;24814.439;27427.63242;28171.52838;25143.31575;26394.87557;25127.68123;22229.97187;20417.61365;20743.47799;20533.25355;22297.57428;22559.16108;23946.73755;24502.58831;20318.2473;23006.68854
HR;B1G;Y;135310.4989;143247.8745;154825.1981;169653.1161;187010.1547;204216.5333;222113.6778;240318.4788;261987.0275;280020.3461;277024.2488;280117.4508;283091.8669;278951.2982;280226.0904;279716.3036;286845.5715;296122.1521;304322.8304;316795.7513;333830.2113;318038.8833;345032.9091
HR;B1G;V;140171.7782;149618.452;161254.8077;176650.7408;195968.2612;213141.7564;229491.8651;249734.8144;274729.1376;295469.7849;285079.7563;282254.1995;288536.1357;282132.8956;280577.0974;279670.2008;285685.4221;295712.63;308540.9809;322160.1423;339400.4628;316759.5696;356471.7511
HR;B1GQ;Y;162688.9491;173262.5662;186264.6453;205246.7462;224899.2862;244311.8089;264112.6321;285807.4608;311501.6291;330939.4161;323732.6696;329163.5095;331939.6914;329889.6322;333376.9587;334792.9308;343760.5894;356187.1964;368071.782;383153.194;404465.3711;378831.2016;417075.5811
HR;B1GQ;V;168386.922;180782.4215;194138.0244;213122.2635;234578.3626;253193.8956;272357.4776;296914.7664;324783.3314;349157.2516;333332.5006;332222.8899;337571.7756;334591.9201;335955.1577;335292.1543;344034.4139;355920.3335;372354.8671;390855.9786;412228.313;378341.1725;430621.0159
HR;D21X31;Y;27378.45027;30014.6917;31439.44715;35593.63013;37889.13153;40095.27567;41998.95436;45488.98204;49514.60152;50919.06993;46708.42076;49046.05873;48847.82443;50938.33405;53150.86834;55076.62723;56915.01796;60065.04431;63748.9516;66357.44268;70635.1598;60792.3183;72042.67206
HR;D21X31;V;28215.1438;31163.96948;32883.21675;36471.52269;38610.10135;40052.13913;42865.6124;47179.95193;50054.19382;53687.46663;48252.74428;49968.69045;49035.63989;52459.02452;55378.06035;55621.95351;58348.99177;60207.70342;63813.88621;68695.83632;72827.85018;61581.60297;74149.26479
HU;B1G;Y;9270797;10423687;11841007;13952616;15778101;17262985;18834102;20232703;21185453;22327369;21793783;22839986;23788454;23985144;25002246;26777736;28741045;30136625;32003487;35162368;38345916;38305967;43929663
HU;B1G;V;9984353;11357758;13307856;15134489;16442337;18071239;19473280;21140813;22142363;23346169;22548144;23332783;24285160;24409415;25632129;27718713;29459765;30714361;33309001;36641892;40257788;40860507;46646434
HU;B1GQ;Y;10763520;12158814;13866886;16128796;18144158;20087396;22016583;23486579;24412936;26000332;25452029;26806207;27998195;28181410;29519302;31636459;34020881;35734798;37753406;41380800;45494059;45497475;51857148
HU;B1GQ;V;11637546;13324052;15398700;17433859;19130011;21110059;22594966;24345409;25741898;27249944;26520776;27485093;28538202;28996631;30351903;32804707;34965213;36206666;39274757;43386436;47664925;48411546;55125561
HU;D21X31;Y;1492723;1735127;2025879;2176180;2366057;2824411;3182481;3253876;3227483;3672963;3658246;3966221;4209741;4196266;4517056;4858723;5279836;5598173;5749919;6218432;7148143;7191508;7927485
HU;D21X31;V;1653193;1966294;2090844;2299370;2687674;3038820;3121686;3204596;3599535;3903775;3972632;4152310;4253042;4587216;4719774;5085994;5505448;5492305;5965756;6744544;7407137;7551039;8479127
IE;B1G;Y;78847.15086;89418.8357;100406.4525;115443.1582;122169.2229;135692.9963;145800.6998;156386.5537;175290.2906;171136.0373;156669.3663;155075.2091;154582.9148;151445.7096;160755.7015;176682.437;221115.5896;247519.703;268116.3853;303090.9834;322671.4383;359313.397;396504.4733
IE;B1G;V;82670.78604;96721.75863;108813.82;120604.6183;128986.8951;137429.1754;149522.6823;162578.076;175065.9325;167334.9525;152335.859;152323.745;155174.6755;158691.2506;164131.5979;178525.655;244180.6385;250893.7352;274823.1821;306261.1918;334579.0403;352055.3139;401447.5069
IE;B1GQ;Y;88900.08741;101516.1068;114251.855;129291.6603;140096.6504;155458.8151;165228.9315;178801.4173;194735.5138;188232.6648;177739.4489;172372.682;168787.1539;171693.6552;177592.3031;194979.5039;242628.3899;268252.9314;294538.2519;323155.0968;344403.081;378765.1274;423498.3279
IE;B1GQ;V;92790.52674;108495.2889;122089.1738;135997.8937;145576.8543;156259.9508;170306.7653;184916.2428;197069.396;187282.9828;169519.7133;167391.3938;171703.1716;175615.4178;179457.5883;195085.2466;262975.9136;270205.3362;297763.2158;326631.2778;356704.5955;372836.3974;426283.4357
IE;D21X31;Y;9806.185751;11161.8112;11693.95719;12601.2698;14046.72825;16113.97843;18831.02823;21522.8059;21820.78521;18594.10245;15963.97437;15341.63864;14491.65286;14962.13481;15837.98503;17515.04404;18815.12337;19950.05762;20699.91907;21320.65242;22844.0768;19677.37352;24290.33532
IE;D21X31;V;9968.643419;11771.7325;12253.64692;13176.58392;14530.43706;16466.89917;19283.15674;22362.37269;22866.76032;19333.34388;15250.08985;15197.88585;14857.28547;15213.70706;15917.27345;17546.3681;18759.69788;19949.03708;20768.77829;21427.16181;23054.30796;19606.10168;24875.52435
